A supports []  supported by [ˤ]
˚ supports [}]  supported by [Ƈ]
˛ supports []  supported by [°]
˜ supports [̈́]  supported by [̛]
˝ supports []  supported by [ƾ]
˞ supports []  supported by []
˟ supports [ɫ]  supported by [˰]
ˠ supports [Ҹ]  supported by [Ѡ]
ˡ supports [У]  supported by [ϊ]
ˢ supports []  supported by [Ӱ]
ˣ supports [÷, Ⱦ]  supported by [ȶ]
ˤ supports [A]  supported by [ś]
˥ supports []  supported by [ˊ]
˦ supports [ʭ]  supported by [v]
˧ supports []  supported by [é]
˨ supports []  supported by [˿]
˩ supports [ƈ, ̊, ͛]  supported by [Ȍ]
˪ supports [ɢ]  supported by [к]
˫ supports [Ȑ]  supported by [ȏ]
ˬ supports [͆]  supported by [Ɏ]
˭ supports [¼]  supported by [Ӱ]
ˮ supports []  supported by [̐]
˯ supports [΍, ѿ]  supported by [ɤ]
˰ supports [˟, ғ, ӱ]  supported by [̌]
˱ supports [R]  supported by [ğ]
˲ supports []  supported by [̚]
˳ supports []  supported by [Ǔ]
˴ supports []  supported by [Ƅ]
˵ supports [ӑ]  supported by [ļ, ӌ]
˶ supports [Ǳ, Ѯ]  supported by [̆]
˷ supports [ȯ]  supported by [Ͱ, Υ]
˸ supports [Ũ]  supported by [Ɓ]
˹ supports [ʠ, ͸]  supported by [ʑ]
˺ supports [ ]  supported by [ɚ]
˻ supports [Ҽ]  supported by [Ҕ]
˼ supports [Ü]  supported by [ȫ]
˽ supports []  supported by [ό]
˾ supports [®, Ӈ]  supported by [̭]
˿ supports [˨]  supported by [ʏ]
̀ supports [ä]  supported by [ѓ]
́ supports [ĝ, ȝ, ӂ]  supported by [ļ]
̂ supports [́]  supported by [Ȉ]
̃ supports []  supported by [Њ]
̄ supports [Ӟ]  supported by [¸]
̅ supports []  supported by [F, ţ]
̆ supports [, ˶, Ѳ]  supported by [҈]
̇ supports []  supported by [Ҵ]
̈ supports [ɡ, ʽ]  supported by [П]
̉ supports [΅]  supported by [ʰ]
̊ supports []  supported by [˩]
̋ supports [Ŏ]  supported by [Ɔ]
̌ supports [˰]  supported by [Ѧ]
̍ supports []  supported by [Ð]
̎ supports []  supported by [Ƣ]
̏ supports [Ǹ, ώ]  supported by [L]
̐ supports [ˮ]  supported by [κ]
̑ supports [ː]  supported by [ͣ]
̒ supports [̜, ̰, ν]  supported by [ӌ]
̓ supports [ҟ]  supported by [ʬ]
̔ supports [ɛ]  supported by [̕]
̕ supports [̔]  supported by [Ǹ]
̖ supports []  supported by [Ҟ]
̗ supports [ŝ]  supported by [Ƒ]
̘ supports [Ɔ]  supported by [̱]
̙ supports [ͻ, Е]  supported by [ŵ]
̚ supports [˲, Ѵ]  supported by [ď]
̛ supports [ƣ, ˜, χ]  supported by [ƹ]
̜ supports [Ɗ]  supported by [̒]
̝ supports [ѷ]  supported by [ѧ]
̞ supports [ğ]  supported by [͂]
̟ supports [ǋ, Ϲ]  supported by [ɣ]
̠ supports [ċ]  supported by [ϰ]
̡ supports [ќ]  supported by [ț]
̢ supports [˃, ΰ, З]  supported by [f]
̣ supports [҉]  supported by [϶]
̤ supports [ȃ, ӟ]  supported by [Қ]
̥ supports [W, Ø, Г]  supported by [B, {]
̦ supports [Ð]  supported by [Ȝ]
̧ supports []  supported by [ċ]
̨ supports [ӥ]  supported by [ª]
̩ supports [ɷ, Ҕ]  supported by [ʒ]
̪ supports []  supported by [Ȱ]
̫ supports []  supported by [ʹ]
̬ supports []  supported by [Ѭ]
̭ supports [č, ˾]  supported by [F]
̮ supports [Ƶ, Ǔ]  supported by [΂]
̯ supports [ό]  supported by [͛]
̰ supports [ȋ]  supported by [̒]
̱ supports [̘]  supported by []
̲ supports []  supported by [ɰ]
̳ supports [ǟ]  supported by []
̴ supports []  supported by [ǵ]
̵ supports [ļ]  supported by [ê]
̶ supports []  supported by [É]
̷ supports [©, Ʊ]  supported by [ȋ]
̸ supports [š]  supported by [®, Ӈ]
̹ supports [ў]  supported by [̀]
̺ supports [τ]  supported by [ɢ]
̻ supports [˗, Ζ, І]  supported by [È]
̼ supports [ŗ, ψ]  supported by [ϓ]
̽ supports [н]  supported by [ɔ]
̾ supports [, д]  supported by [ǚ]
̿ supports [Љ]  supported by [ď]
̀ supports [̹]  supported by [Ь]
́ supports [¦, ë]  supported by [̂]
͂ supports [̞]  supported by [ʊ]
̓ supports [ʬ]  supported by [ý]
̈́ supports [Ɠ]  supported by [˜]
ͅ supports [ˆ, ӄ]  supported by [Ȳ]
͆ supports []  supported by [ˬ]
͇ supports []  supported by [ɪ]
͈ supports [ϥ]  supported by [΁]
͉ supports []  supported by [ҟ]
͊ supports [Ƒ]  supported by [ӯ]
͋ supports [Ŵ]  supported by [µ]
͌ supports []  supported by [ҟ]
͍ supports [Ŀ]  supported by [ҍ]
͎ supports []  supported by [Ɔ]
͏ supports [ť, ʸ]  supported by [ӕ]
͐ supports [½, Ȩ]  supported by [Ҷ]
͑ supports []  supported by [ƌ]
͒ supports []  supported by [ǁ]
͓ supports [ӡ]  supported by [ǖ]
͔ supports [w, Ĵ]  supported by [ҕ]
͕ supports [ɥ]  supported by [Ư]
͖ supports [ϡ]  supported by [Ĥ]
͗ supports [σ]  supported by [ҩ]
͘ supports []  supported by [´]
͙ supports [U, ˉ, ҄]  supported by [ѽ]
͚ supports [Ƃ, С]  supported by [΃]
͛ supports [̯, ұ]  supported by [˩]
͜ supports []  supported by [q]
͝ supports []  supported by [к]
͞ supports [Ί]  supported by [Ȏ]
͟ supports []  supported by [Ñ]
͠ supports []  supported by [ϡ]
͡ supports [ƒ, ʱ]  supported by [¼]
͢ supports [Ξ, Џ]  supported by [ň]
ͣ supports [̑]  supported by [ʕ]
ͤ supports [§]  supported by [ͼ]
ͥ supports [ì, ÿ]  supported by [ξ]
ͦ supports [Ĝ, Ƹ]  supported by [ʁ]
ͧ supports []  supported by [ǽ]
ͨ supports [Ѥ]  supported by [Ŗ]
ͩ supports [ɣ]  supported by [φ]
ͪ supports []  supported by [І]
ͫ supports [ѥ]  supported by [Ĳ]
ͬ supports [Ǆ]  supported by [σ]
ͭ supports []  supported by [Ǝ]
ͮ supports []  supported by [ů]
ͯ supports [Ё, Й]  supported by [R]
Ͱ supports [ŭ, ˷]  supported by [Ƶ]
ͱ supports [Ǐ, Ɍ]  supported by [Ǆ]
Ͳ supports [ĉ, ʯ]  supported by [Ǧ]
ͳ supports [Щ]  supported by [ɴ]
ʹ supports []  supported by [Ŝ]
͵ supports []  supported by [Ǝ]
Ͷ supports []  supported by [Ї]
ͷ supports []  supported by [Ӌ]
͸ supports [ɇ]  supported by [Ę, ˹]
͹ supports [Ļ]  supported by [Ŏ]
ͺ supports [э]  supported by [μ]
ͻ supports []  supported by [̙]
ͼ supports [ͤ]  supported by [Ÿ]
ͽ supports []  supported by [ǰ]
; supports [ő, ɋ]  supported by [Ҝ]
Ϳ supports []  supported by [Ɵ]
΀ supports [ƴ, ΃]  supported by [ҭ]
΁ supports [͈]  supported by [ǭ]
΂ supports [̮]  supported by [Ÿ]
΃ supports [ƾ, Ǧ, ͚]  supported by [΀]
΄ supports []  supported by [S]
΅ supports []  supported by [̉]
Ά supports []  supported by [ј]
· supports []  supported by [Ӥ]
Έ supports []  supported by [Ҿ]
Ή supports [Ҁ]  supported by [ń]
Ί supports [ú, Β]  supported by [͞, ӳ]
΋ supports []  supported by [ō, Њ]
Ό supports [ˁ, Ҭ]  supported by [Δ]
΍ supports [²]  supported by [˯]
Ύ supports [ŀ]  supported by [Ğ]
Ώ supports [ѕ, ҹ]  supported by [ο]
ΐ supports []  supported by [Ӥ]
Α supports [Ǭ, ϧ]  supported by [ϐ]
Β supports []  supported by [Ί]
Γ supports [Ŷ]  supported by [Ó]
Δ supports [Ό, ӕ]  supported by [ƥ]
Ε supports []  supported by [κ]
Ζ supports []  supported by [̻]
Η supports []  supported by [ǈ]
Θ supports [Ь]  supported by [ѐ]
Ι supports [¯]  supported by [ż]
Κ supports [ί]  supported by [ψ]
Λ supports []  supported by [ӈ]
Μ supports [Ɩ]  supported by [ĵ]
Ν supports []  supported by [ȥ, ˕]
Ξ supports []  supported by [͢]
Ο supports [M, x]  supported by [ʫ]
Π supports []  supported by [Ŗ, Ҽ]
Ρ supports [ȱ]  supported by [Ľ]
΢ supports [ʌ, ξ, ѳ]  supported by [m]
Σ supports [Ǽ]  supported by [W]
Τ supports [Ѝ, ҿ]  supported by [ó]
Υ supports [˷]  supported by [Ǔ]
Φ supports [ҥ]  supported by [ğ]
Χ supports [ê, ȩ]  supported by [ȁ]
Ψ supports [¿, ʖ]  supported by [Ң]
Ω supports [ӝ]  supported by [ʭ]
Ϊ supports [Ã]  supported by [F, ţ]
Ϋ supports []  supported by [÷]
ά supports [N]  supported by [ҙ]
έ supports []  supported by []
ή supports [Ċ]  supported by [Ë]
ί supports [ǀ]  supported by [Κ]
ΰ supports [φ]  supported by [̢]
α supports [ɖ]  supported by [ņ]
β supports [Ӝ]  supported by [ɹ]
γ supports []  supported by [ǃ]
δ supports []  supported by [G, ŉ]
ε supports [ȏ, Ϣ]  supported by [ņ]
ζ supports [в]  supported by [¼]
η supports [ơ]  supported by [Ø]
θ supports [ϱ]  supported by [U]
ι supports [æ, ƃ]  supported by [ʊ]
κ supports [̐, Ε]  supported by [ķ, ɼ]
λ supports []  supported by [Ũ]
μ supports [œ, ͺ]  supported by [ȱ]
ν supports [Ӎ]  supported by [̒]
ξ supports [ã, Ġ, ͥ]  supported by [΢]
ο supports [Ώ]  supported by [ń]
π supports [ƞ]  supported by [ϐ]
ρ supports []  supported by [ӟ]
ς supports []  supported by [ʶ]
σ supports [ͬ]  supported by [ɰ, ͗]
τ supports [ё]  supported by [̺]
υ supports []  supported by [ǋ, Ϲ]
φ supports [v, ͩ, љ]  supported by [ΰ]
χ supports [ɾ, К]  supported by [̛]
ψ supports [Ȯ, Κ]  supported by [̼]
ω supports []  supported by [~]
ϊ supports [ƽ, ˡ, ҈]  supported by [Ɓ]
ϋ supports [ˊ]  supported by [q]
ό supports [˽]  supported by [̯, ұ]
ύ supports [Ç]  supported by [ӏ]
ώ supports [Ӱ]  supported by [̏]
Ϗ supports [ɀ]  supported by [ɘ]
ϐ supports [Α, π]  supported by [v]
ϑ supports []  supported by []
ϒ supports []  supported by [c]
ϓ supports [̼, и]  supported by []
ϔ supports [ӓ]  supported by [ɪ, ѡ]
ϕ supports [˅]  supported by [Ȓ]
ϖ supports []  supported by [Т]
ϗ supports [ǣ]  supported by [ӄ]
Ϙ supports []  supported by [ш]
ϙ supports [ӧ]  supported by [О]
Ϛ supports [ǯ]  supported by [џ]
ϛ supports [ŵ]  supported by [Ȕ]
Ϝ supports [ß]  supported by [Ä]
ϝ supports [Á]  supported by [`]
Ϟ supports [х]  supported by [S]
ϟ supports []  supported by [ļ]
Ϡ supports [Ӏ]  supported by [ș]
ϡ supports [͠]  supported by [͖]
Ϣ supports [a, Ɵ]  supported by [ε]
ϣ supports [«, й]  supported by [Ŕ]
Ϥ supports [Ӧ]  supported by [ŋ]
ϥ supports [ˋ, Ў]  supported by [͈]
Ϧ supports [Х]  supported by [ɫ]
ϧ supports []  supported by [Α]
Ϩ supports [ā]  supported by [Ĕ]
ϩ supports []  supported by [Ӏ]
Ϫ supports []  supported by [Č, Я]
ϫ supports [ȅ]  supported by [҆]
Ϭ supports [Ň, с]  supported by [ʚ, О]
ϭ supports [ŷ]  supported by [ɞ]
Ϯ supports []  supported by [s]
ϯ supports [ɒ]  supported by [Ă]
ϰ supports [̠, Ќ]  supported by [ƛ]
ϱ supports [ɳ]  supported by [θ]
ϲ supports []  supported by [Ġ]
ϳ supports []  supported by [ț]
ϴ supports []  supported by [`]
ϵ supports [ɲ]  supported by [Ǘ]
϶ supports [̣]  supported by [ɠ]
Ϸ supports []  supported by [ļ]
ϸ supports [ɋ]  supported by [ȷ]
Ϲ supports [, υ]  supported by [̟]
Ϻ supports [\]  supported by [^]
ϻ supports [»]  supported by [ǰ]
ϼ supports [ʙ]  supported by [Û]
Ͻ supports [Ѽ]  supported by [Ɣ]
Ͼ supports [ʶ]  supported by [Ǎ]
Ͽ supports [р]  supported by [҉]
Ѐ supports [Я]  supported by [Ѝ]
Ё supports []  supported by [ͯ]
Ђ supports []  supported by [ө]
Ѓ supports []  supported by [ʾ]
Є supports [ˀ]  supported by [ȧ]
Ѕ supports []  supported by [ũ]
І supports [ͪ]  supported by [̻]
Ї supports [Ͷ]  supported by [ɻ]
Ј supports [h, î, ʪ]  supported by [ʥ]
Љ supports [ʡ]  supported by [̿]
Њ supports [̃, ΋]  supported by [ƍ]
Ћ supports [ƺ, ҙ]  supported by [·]
Ќ supports [ċ]  supported by [ϰ]
Ѝ supports [ǿ, ȁ, ʞ, Ѐ]  supported by [Τ]
Ў supports []  supported by [ϥ]
Џ supports []  supported by [͢]
А supports []  supported by []
Б supports []  supported by [Ô]
В supports [щ]  supported by [Ǡ]
Г supports [ǐ]  supported by [̥]
Д supports [Ē]  supported by [¾]
Е supports [Ö]  supported by [̙]
Ж supports []  supported by [҃, Ӛ]
З supports [Ӫ]  supported by [̢]
И supports [, ´]  supported by [ȏ]
Й supports []  supported by [ͯ]
К supports [і]  supported by [χ]
Л supports []  supported by [л]
М supports [{]  supported by [ƕ]
Н supports []  supported by [щ]
О supports [ϙ, Ϭ]  supported by []
П supports [̈]  supported by [о]
Р supports [ĕ]  supported by [ï]
С supports [Ě, Ĺ]  supported by [Ǧ, ͚]
Т supports [ϖ]  supported by [b]
У supports [Ƌ, Ѳ]  supported by [ˡ]
Ф supports [ʫ]  supported by [Ǉ]
Х supports [ɕ]  supported by [Ǝ, Ϧ]
Ц supports []  supported by [Җ]
Ч supports []  supported by [ǋ]
Ш supports []  supported by [Ü]
Щ supports []  supported by [ł, ͳ]
Ъ supports [ƀ, ƕ]  supported by [¸]
Ы supports [Ҟ]  supported by []
Ь supports [ˌ, ̀]  supported by [Θ]
Э supports []  supported by [Ӊ]
Ю supports [ɍ, ң]  supported by [н]
Я supports [Ϫ, ѭ]  supported by [ʞ, Ѐ]
а supports [ñ, ҵ]  supported by [Ʒ]
б supports [ʃ]  supported by [˖]
в supports [Ɉ]  supported by [ζ]
г supports [ǖ, Ȍ]  supported by [Ġ, ѳ]
д supports [Ź]  supported by [̾]
е supports []  supported by [о]
ж supports []  supported by [ȍ]
з supports []  supported by []
и supports []  supported by [ϓ]
й supports [Ȋ]  supported by [ϣ]
к supports [˪, ͝, њ]  supported by [ˉ]
л supports [Л]  supported by [Ŕ]
м supports [ƍ]  supported by [, Š]
н supports [Ю]  supported by [̽]
о supports [П, е, ъ]  supported by [×]
п supports []  supported by [ȴ]
р supports [Ƈ, Ȅ]  supported by [Ͽ]
с supports []  supported by [Ϭ]
т supports [ü]  supported by [Ӕ]
у supports [Y]  supported by [ň]
ф supports [Ә, Ӣ]  supported by [×]
х supports []  supported by [Ϟ]
ц supports [ǩ]  supported by [Š]
ч supports []  supported by [ˑ]
ш supports [Ϙ]  supported by [ӭ]
щ supports [Н]  supported by [В]
ъ supports [ʮ]  supported by [о]
ы supports [ȓ]  supported by [ȯ]
ь supports [Ȇ]  supported by [ɛ]
э supports [ȗ]  supported by [ͺ]
ю supports []  supported by [ӓ]
я supports []  supported by [ŧ, ů]
ѐ supports [ŕ, Θ, ҇]  supported by [ҵ]
ё supports []  supported by [τ]
ђ supports []  supported by [ʤ]
ѓ supports [̀]  supported by [ʢ]
є supports []  supported by [F, ţ]
ѕ supports []  supported by [Ώ]
і supports []  supported by [К]
ї supports []  supported by []
ј supports [Ά]  supported by [ҿ]
љ supports []  supported by [x, φ]
њ supports []  supported by [к]
ћ supports [X]  supported by [ѿ]
ќ supports [, қ]  supported by [̡]
ѝ supports [¸]  supported by [Ⱦ]
ў supports [Ŕ]  supported by [̹]
џ supports [Ϛ]  supported by [ē]
Ѡ supports [Ƕ, ˠ]  supported by [Ѻ]
ѡ supports [, ϔ]  supported by [§]
Ѣ supports [ż]  supported by [ǧ]
ѣ supports [Þ]  supported by [¥]
Ѥ supports [ª]  supported by [ͨ]
ѥ supports [Ł, Ѩ]  supported by [ͫ]
Ѧ supports [̌]  supported by [ґ]
ѧ supports [F, ̝]  supported by [ҏ]
Ѩ supports [ď]  supported by [ѥ]
ѩ supports []  supported by []
Ѫ supports [ġ]  supported by [Ҭ]
ѫ supports [Ƨ]  supported by [˕]
Ѭ supports [í, Ɲ, ̬]  supported by [ʴ]
ѭ supports [җ]  supported by [Я]
Ѯ supports []  supported by [˶]
ѯ supports [Ę, ɨ]  supported by [ǀ]
Ѱ supports [K, ·, ʴ, ө]  supported by [œ]
ѱ supports [ſ, ǝ]  supported by [ˑ]
Ѳ supports []  supported by [̆, У]
ѳ supports [г]  supported by [΢]
Ѵ supports [ƚ]  supported by [̚]
ѵ supports [ě]  supported by [ƻ]
Ѷ supports [Ǚ]  supported by [ʗ]
ѷ supports []  supported by [̝]
Ѹ supports []  supported by [Ʋ]
ѹ supports [ȥ, ȹ]  supported by [ǲ]
Ѻ supports [Ǟ, Ѡ]  supported by [~]
ѻ supports [Ƣ]  supported by [ɣ]
Ѽ supports []  supported by [Ͻ]
ѽ supports [͙, ӛ]  supported by [Ƞ]
Ѿ supports [ħ]  supported by [Ĵ]
ѿ supports [ƌ, ћ]  supported by [˯]
Ҁ supports [Ǌ, ɂ]  supported by [Ή]
ҁ supports [Ɏ]  supported by [¯]
҂ supports [ʧ]  supported by [ſ]
҃ supports [ɺ, ʂ, Ж]  supported by [Ô]
҄ supports [Æ, đ, ĥ]  supported by [͙]
҅ supports []  supported by [ˇ]
҆ supports [ϫ]  supported by [ʵ]
҇ supports [Ė]  supported by [ѐ]
҈ supports [̆]  supported by [ϊ]
҉ supports [Ī, Ͽ]  supported by [̣]
Ҋ supports []  supported by [q]
ҋ supports []  supported by [ƣ]
Ҍ supports [ț]  supported by [ʇ]
ҍ supports [ǜ, ͍]  supported by [|]
Ҏ supports [ʥ]  supported by [ɺ]
ҏ supports [˘, ѧ, ҽ]  supported by [Ơ]
Ґ supports [ų, Ȫ]  supported by [Ƕ]
ґ supports [Ѧ]  supported by [Ɨ]
Ғ supports []  supported by [V]
ғ supports [Һ]  supported by [˰]
Ҕ supports [, ʛ, ˻]  supported by [̩]
ҕ supports [Ģ, ͔]  supported by [Ų]
Җ supports [Ȣ, Ц]  supported by [Ĥ]
җ supports []  supported by [ѭ]
Ҙ supports [Ǖ]  supported by [ʵ]
ҙ supports [˓, ά]  supported by [Ћ]
Қ supports [ǧ, ̤]  supported by [ȡ, Ӑ]
қ supports [ʚ]  supported by [ќ]
Ҝ supports [;]  supported by [ƴ]
ҝ supports [T]  supported by [ë]
Ҟ supports [̖, ҧ]  supported by [Ы]
ҟ supports [͉, ͌]  supported by [ɧ, ̓]
Ҡ supports [ȧ]  supported by [Ү]
ҡ supports []  supported by [ұ]
Ң supports [Ψ]  supported by [ʣ]
ң supports [×]  supported by [Ю]
Ҥ supports [Ĥ]  supported by [ț]
ҥ supports []  supported by [Φ]
Ҧ supports [Ř, Ȝ]  supported by [ӓ]
ҧ supports []  supported by [Ҟ]
Ҩ supports [Ĭ]  supported by [ʙ]
ҩ supports [͗]  supported by [«]
Ҫ supports []  supported by [Ӝ]
ҫ supports [ɤ]  supported by [ұ]
Ҭ supports [Ѫ]  supported by [Ό]
ҭ supports [΀]  supported by [ǘ]
Ү supports [Ҡ]  supported by [Ň, ˅]
ү supports []  supported by [ű]
Ұ supports []  supported by [ʡ]
ұ supports [ό, ҡ, ҫ]  supported by [͛]
Ҳ supports [ǂ]  supported by [ʲ]
ҳ supports []  supported by [Ʀ]
Ҵ supports [̇]  supported by [Ǫ]
ҵ supports [ѐ]  supported by [Ĉ, а]
Ҷ supports [͐]  supported by [Ŧ]
ҷ supports []  supported by [, ʹ]
Ҹ supports []  supported by [ˠ]
ҹ supports []  supported by [Ώ]
Һ supports []  supported by [ғ]
һ supports [ƛ]  supported by [ɟ]
Ҽ supports [Π]  supported by [, ʛ, ˻]
ҽ supports [ţ]  supported by [ҏ]
Ҿ supports [ƅ, Έ]  supported by [¿]
ҿ supports [ј]  supported by [Τ]
Ӏ supports [Û, ϩ]  supported by [Ϡ]
Ӂ supports []  supported by [ģ]
ӂ supports [Ő]  supported by [́]
Ӄ supports [Ȭ]  supported by [Ǚ]
ӄ supports [ϗ]  supported by [ͅ]
Ӆ supports []  supported by [ʮ]
ӆ supports [ǥ]  supported by [ʺ]
Ӈ supports [Ŝ, ̸]  supported by [˾]
ӈ supports [Λ]  supported by [ɡ, ʽ]
Ӊ supports [n, ç, Э]  supported by [ī]
ӊ supports []  supported by [Ȉ]
Ӌ supports [ͷ]  supported by [ȣ]
ӌ supports [˵, ̒]  supported by [ƭ]
Ӎ supports [Ĩ, Ș]  supported by [ν]
ӎ supports [ē]  supported by [ǝ]
ӏ supports [ύ]  supported by [¢]
Ӑ supports [, Қ]  supported by [g]
ӑ supports [¡]  supported by [˵]
Ӓ supports []  supported by [Ɲ]
ӓ supports [ю, Ҧ]  supported by [ϔ]
Ӕ supports [т]  supported by [ǝ]
ӕ supports [͏]  supported by [Δ]
Ӗ supports []  supported by [ǚ, ȍ]
ӗ supports []  supported by [Ė]
Ә supports [Ë]  supported by [ф]
ә supports [ɚ, ʔ]  supported by []
Ӛ supports [Ж]  supported by [Ô]
ӛ supports [ˉ]  supported by [ѽ]
Ӝ supports [Ҫ]  supported by [β]
ӝ supports []  supported by [Ω]
Ӟ supports []  supported by [̄]
ӟ supports [ǔ, ρ]  supported by [Ă, ̤]
Ӡ supports [ĵ]  supported by [˙]
ӡ supports [¶, ʒ]  supported by [Ǥ, ͓]
Ӣ supports [], |]  supported by [ф]
ӣ supports []  supported by [Ƹ]
Ӥ supports [·, ΐ]  supported by [ů]
ӥ supports [ƪ, ɱ, ʜ]  supported by [̨]
Ӧ supports []  supported by [Ϥ]
ӧ supports []  supported by [ϙ]
Ө supports [Ƹ]  supported by [ʁ]
ө supports [Ђ]  supported by [Ѱ]
Ӫ supports [þ]  supported by [З]
ӫ supports []  supported by [S]
Ӭ supports []  supported by [ƹ]
ӭ supports [ш]  supported by [ǉ]
Ӯ supports []  supported by [Ƀ]
ӯ supports [͊]  supported by [ǻ]
Ӱ supports [ˢ, ˭]  supported by [ώ]
ӱ supports []  supported by [˰]
Ӳ supports []  supported by [Ș]
ӳ supports [Ņ, Ί]  supported by [Ȏ]
Can remove 403 bricks
Elapsed = 9217.4927 ms
