Bot [0]  Low : bot 58    High : bot 69 
Bot [95]  Low : bot 159    High : bot 14 
Bot [96]  Low : output 12    High : bot 51 
Bot [97]  Low : bot 133    High : bot 60 
Bot [98]  Low : bot 115    High : bot 85 
Bot [99]  Low : bot 13    High : bot 49 
Bot [100]  Low : bot 143    High : bot 131 
Bot [101]  Low : bot 175    High : bot 105 
Bot [102]  Low : bot 86    High : bot 110 
Bot [103]  Low : bot 195    High : bot 83 
Bot [104]  Low : bot 176    High : bot 121 
Bot [105]  Low : bot 199    High : bot 145 
Bot [106]  Low : bot 178    High : bot 99 
Bot [107]  Low : bot 155    High : bot 203 
Bot [108]  Low : bot 193    High : bot 15 
Bot [109]  Low : bot 56    High : bot 114 
Bot [110]  Low : bot 152    High : bot 129 
Bot [111]  Low : bot 73    High : bot 5 
Bot [112]  Low : bot 25    High : bot 66 
Bot [113]  Low : bot 49    High : bot 34 
Bot [114]  Low : bot 55    High : bot 144 
Bot [115]  Low : output 7    High : bot 208 
Bot [116]  Low : output 14    High : bot 137 
Bot [117]  Low : bot 180    High : bot 151 
Bot [118]  Low : bot 65    High : bot 52 
Bot [119]  Low : bot 97    High : bot 178 
Bot [120]  Low : bot 46    High : bot 97 
Bot [121]  Low : bot 63    High : bot 62 
Bot [122]  Low : bot 120    High : bot 119 
Bot [123]  Low : bot 153    High : bot 37 
Bot [124]  Low : bot 19    High : bot 81 
Bot [125]  Low : output 4    High : bot 50 
Bot [126]  Low : bot 47    High : bot 124 
Bot [127]  Low : output 1    High : bot 180 
Bot [128]  Low : bot 61    High : bot 38 
Bot [129]  Low : bot 71    High : bot 78 
Bot [130]  Low : bot 150    High : bot 65 
Bot [131]  Low : bot 87    High : bot 42 
Bot [132]  Low : bot 181    High : bot 72 
Bot [133]  Low : bot 33    High : bot 162 
Bot [134]  Low : bot 124    High : bot 81 
Bot [135]  Low : bot 185    High : bot 29 
Bot [136]  Low : bot 6    High : bot 64 
Bot [137]  Low : output 6    High : bot 182 
Bot [138]  Low : bot 149    High : bot 17 
Bot [139]  Low : bot 66    High : bot 161 
Bot [140]  Low : output 17    High : bot 96 
Bot [141]  Low : bot 135    High : bot 175 
Bot [142]  Low : bot 107    High : bot 203 
Bot [143]  Low : bot 172    High : bot 87 
Bot [144]  Low : bot 93    High : bot 153 
Bot [145]  Low : bot 44    High : bot 126 
Bot [146]  Low : bot 154    High : bot 183 
Bot [147]  Low : bot 7    High : bot 94 
Bot [148]  Low : bot 170    High : bot 90 
Bot [149]  Low : bot 40    High : bot 136 
Bot [150]  Low : bot 117    High : bot 157 
Bot [151]  Low : bot 125    High : bot 201 
Bot [152]  Low : bot 177    High : bot 71 
Bot [153]  Low : bot 165    High : bot 59 
Bot [154]  Low : bot 145    High : bot 179 
Bot [155]  Low : bot 138    High : bot 1 
Bot [156]  Low : bot 197    High : bot 45 
Bot [157]  Low : bot 151    High : bot 54 
Bot [158]  Low : output 11    High : bot 80 
Bot [159]  Low : bot 8    High : bot 28 
Bot [160]  Low : bot 32    High : bot 98 
Bot [161]  Low : bot 82    High : bot 86 
Bot [162]  Low : bot 160    High : bot 27 
Bot [163]  Low : bot 90    High : bot 8 
Bot [164]  Low : bot 37    High : bot 7 
Bot [165]  Low : bot 30    High : bot 108 
Bot [166]  Low : bot 27    High : bot 16 
Bot [167]  Low : bot 205    High : bot 122 
Bot [168]  Low : bot 169    High : bot 172 
Bot [169]  Low : bot 114    High : bot 75 
Bot [170]  Low : bot 188    High : bot 70 
Bot [171]  Low : bot 34    High : bot 177 
Bot [172]  Low : bot 75    High : bot 67 
Bot [173]  Low : bot 16    High : bot 77 
Bot [174]  Low : bot 85    High : bot 56 
Bot [175]  Low : bot 29    High : bot 199 
Bot [176]  Low : bot 12    High : bot 63 
Bot [177]  Low : bot 11    High : bot 100 
Bot [178]  Low : bot 60    High : bot 13 
Bot [179]  Low : bot 126    High : bot 134 
Bot [180]  Low : output 2    High : bot 125 
Bot [181]  Low : bot 202    High : bot 3 
Bot [182]  Low : output 3    High : bot 127 
Bot [183]  Low : bot 179    High : bot 134 
Bot [184]  Low : bot 38    High : bot 95 
Bot [185]  Low : bot 95    High : bot 31 
Bot [186]  Low : bot 96    High : bot 33 
Bot [187]  Low : bot 18    High : bot 181 
Bot [188]  Low : bot 187    High : bot 132 
Bot [189]  Low : bot 112    High : bot 139 
Bot [190]  Low : bot 53    High : bot 76 
Bot [191]  Low : bot 189    High : bot 196 
Bot [192]  Low : bot 57    High : bot 191 
Bot [193]  Low : bot 182    High : bot 9 
Bot [194]  Low : bot 79    High : bot 92 
Bot [195]  Low : bot 200    High : bot 83 
Bot [196]  Low : bot 139    High : bot 43 
Bot [197]  Low : bot 111    High : bot 24 
Bot [198]  Low : bot 146    High : bot 183 
Bot [199]  Low : bot 192    High : bot 44 
Bot [200]  Low : output 10    High : bot 158 
Bot [201]  Low : bot 50    High : bot 195 
Bot [202]  Low : output 19    High : bot 140 
Bot [203]  Low : bot 1    High : bot 4 
Bot [204]  Low : bot 74    High : bot 22 
Bot [205]  Low : bot 72    High : bot 120 
Bot [206]  Low : bot 209    High : bot 25 
Bot [207]  Low : bot 99    High : bot 113 
Bot [208]  Low : output 5    High : bot 58 
Bot [209]  Low : bot 119    High : bot 106 
Output [0] is : 18
Output [1] is : 127
Output [2] is : 180
Output [3] is : 182
Output [4] is : 125
Output [5] is : 208
Output [6] is : 137
Output [7] is : 115
Output [8] is : 23
Output [9] is : 32
Output [10] is : 200
Output [11] is : 158
Output [12] is : 96
Output [13] is : 80
Output [14] is : 116
Output [15] is : 51
Output [16] is : 58
Output [17] is : 140
Output [18] is : 50
Output [19] is : 202
Output [20] is : 80
Bot containing [61,17] is Bot 98
Part 2 is 4042
Elapsed = 50.075 ms
